order_id,customer_id,product_id,order_date,quantity,unit_price,status
ORD001,1001,P001,2025-08-01,1,450000,Completed
ORD002,1002,P002,01/08/2025,2,15000,Completed
ORD003,1003,P004,2025/08/03,1,125000,Cancelled
ORD004,1004,P006,08-04-2025,3,25000,Completed
ORD005,1005,P003,2025-08-05,2,18000,Completed
ORD006,1006,P005,2025-08-06,,5000,Completed
ORD007,1007,P008,2025-08-07,-1,85000,Completed
ORD008,1008,P009,2025-08-08,2,30000,Cancelled
ORD009,1009,P001,2025-08-09,1,450000,Completed
ORD010,1010,P007,2025-08-10,2,-35000,Completed
ORD011,1001,P002,2025-08-11,4,15000,Completed
ORD012,1002,P010,2025-08-12,1,12000,Completed
ORD013,1003,P006,12/08/2025,2,25000,completed
ORD014,1004,P004,2025-08-14,1,125000,
ORD015,1005,P003,2025-08-15,abc,18000,Completed
ORD005,1005,P003,2025-08-05,2,18000,Completed
ORD016,,P001,2025-08-17,1,450000,Completed
ORD017,1007,P011,2025-08-18,1,,Completed
