payment_id,order_id,payment_date,amount,payment_method,payment_status
PAY001,ORD001,2025-08-01,450000,Card,Successful
PAY002,ORD002,02/08/2025,30000,Transfer,Successful
PAY003,ORD003,2025-08-03,125000,Card,Successful
PAY004,ORD004,2025-08-04,75000,Transfer,Successful
PAY005,ORD005,2025-08-05,30000,Card,Successful
PAY006,ORD006,2025-08-06,5000,Transfer,Successful
PAY007,ORD007,2025-08-07,85000,Card,Successful
PAY008,ORD008,2025-08-08,60000,Transfer,Failed
PAY009,ORD009,2025-08-09,400000,Card,Successful
PAY010,ORD010,2025-08-10,-70000,Transfer,Successful
PAY011,ORD011,2025/08/11,60000,Card,Successful
PAY012,ORD012,2025-08-12,10000,Transfer,Successful
PAY013,ORD013,2025-08-13,50000,Card,Successful
PAY014,ORD014,2025-08-14,125000,Card,Successful
PAY015,ORD015,2025-08-15,18000,Transfer,Successful
PAY015,ORD015,2025-08-15,18000,Transfer,Successful
PAY016,ORD016,2025-08-17,450000,Card,Successful
PAY017,ORD017,2025-08-18,25000,Transfer,Pending
PAY018,ORD999,2025-08-19,50000,Card,Successful
PAY019,ORD004,2025-08-20,10000,Cash,Successful
